color,team name,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,file_name
orange,,cityhoodie,Epic,525070978cbe40c5ba0285c9015a8c74,23,Octane,338,312,0,1,0,7,9,2,1,0.0,431,53.66,2404,1977,427,25,38,520,316,204,5,18,30.02,37.61,596,534,195,1532,481237,150.97,45.77,122.99,37.28,55.92,16.95,194.37,58.92,119.14,36.12,16.37,4.96,5.7,0.16,36,165.9,162.8,2247,2376,2125,248.52,75.34,81.36,24.66,159.64,48.39,170.24,51.61,112.08,33.97,103.67,31.43,114.14,34.6,0,2,csv_1004.csv
blue,,cris20287,Epic,81486607bfc243c584312f7a61b11244,23,Octane,358,700,3,0,2,3,4,2,1,100.0,417,40.83,2466,1796,670,21,60,431,102,329,2,28,48.86,27.86,223,309,97,1487,498678,177.88,49.64,134.12,37.43,46.33,12.93,196.5,54.84,146.21,40.8,15.63,4.36,6.87,0.13,53,168.0,179.8,2263,2091,2411,271.39,75.74,86.95,24.26,176.89,49.36,181.45,50.64,120.7,33.68,127.79,35.66,109.84,30.65,1,0,csv_1005.csv
blue,,S0KUM2,Epic,31f15cd86b994496bc320de3df8e3c43,23,Octane,358,294,0,1,0,5,4,2,1,0.0,354,50.39,2057,1560,497,19,45,684,490,194,6,18,24.23,27.73,81,271,32,1406,460624,176.06,49.99,158.53,45.01,17.61,5.0,197.28,56.02,145.79,41.4,9.12,2.59,6.57,0.16,41,186.8,161.2,2589,2620,2543,273.05,77.53,79.15,22.47,203.07,57.67,149.05,42.33,153.37,43.55,100.16,28.44,98.67,28.02,1,2,csv_1005.csv
orange,,italic,Steam,76561198021360335,23,Octane,358,530,2,0,2,4,8,3,1,50.0,437,52.12,2597,2127,470,26,42,546,377,169,4,15,48.86,49.93,510,387,25,1547,518885,163.08,45.52,135.03,37.69,60.13,16.78,182.06,50.82,160.69,44.86,15.49,4.32,4.81,0.17,29,140.4,204.3,1812,1533,1956,235.76,65.81,122.48,34.19,246.69,68.86,111.54,31.14,193.5,54.01,94.65,26.42,70.09,19.57,2,0,csv_1005.csv
orange,,FliegenfangerFletcher,Steam,76561198403815410,403,Dominus,358,413,0,2,2,0,8,3,2,0.0,369,54.4,2305,1745,560,21,49,304,201,103,3,9,33.2,46.53,207,305,103,1392,459663,205.29,57.89,108.59,30.62,40.77,11.5,223.0,62.88,117.11,33.02,14.53,4.1,6.3,0.2,32,204.2,136.0,2675,2570,2798,250.48,70.63,104.17,29.37,259.31,73.12,95.33,26.88,213.32,60.15,90.82,25.61,50.51,14.24,0,2,csv_1005.csv
blue,,italic,Steam,76561198021360335,23,Octane,367,490,2,0,1,4,9,6,4,50.0,502,56.63,2937,2432,505,37,45,561,365,196,6,18,44.61,35.92,671,633,5,1644,552321,144.62,39.5,145.13,39.63,76.42,20.87,190.7,52.08,157.22,42.94,18.26,4.99,4.14,0.14,30,184.9,161.6,1960,1634,2202,243.69,66.55,122.49,33.45,234.06,63.92,132.11,36.08,174.33,47.61,112.82,30.81,79.02,21.58,0,0,csv_1006.csv
blue,,DSinfinity,Steam,76561198080302493,23,Octane,367,286,0,1,2,0,9,6,2,0.0,315,52.07,1943,1354,589,16,52,209,54,155,1,13,44.69,23.64,73,263,45,1384,459843,194.18,53.59,147.76,40.78,20.43,5.64,230.44,63.59,128.62,35.49,3.32,0.92,5.15,0.13,39,158.5,179.9,2767,2767,2682,236.46,65.25,125.91,34.75,229.29,63.28,133.08,36.72,163.38,45.09,120.07,33.13,78.92,21.78,0,0,csv_1006.csv
orange,,FckMeJesus,Epic,e7cf30afab264d6c9e8ae87c76ca40a2,4284,Fennec,367,657,3,1,0,5,4,2,2,60.0,427,46.79,2604,1760,844,20,75,381,100,281,1,25,50.5,19.81,355,256,16,1627,548209,139.24,38.03,171.82,46.92,55.12,15.05,207.24,56.6,150.14,41.0,8.8,2.4,12.57,0.09,143,176.1,164.9,2473,2217,2804,284.75,77.76,81.42,22.24,230.39,62.92,135.79,37.08,162.91,44.49,126.25,34.48,77.02,21.03,0,0,csv_1006.csv
orange,,iksave,Steam,76561198299993244,23,Octane,367,572,3,0,1,4,4,2,0,75.0,309,52.95,1971,1390,581,17,51,270,100,170,1,15,36.37,41.02,138,329,9,1494,499977,184.45,50.48,141.15,38.63,39.78,10.89,215.95,59.1,135.23,37.01,14.2,3.89,5.27,0.09,60,164.6,174.5,2461,2378,2415,291.07,79.66,74.31,20.34,231.38,63.33,134.0,36.67,175.0,47.9,100.82,27.59,89.56,24.51,0,0,csv_1006.csv
blue,,shantanu_sc22,PS4,shantanu_sc22,23,Octane,338,739,2,0,4,7,6,0,0,28.57,397,50.47,2137,1760,377,21,33,362,198,164,2,14,34.98,41.31,273,357,4,1497,473686,151.77,45.7,138.13,41.59,42.22,12.71,194.04,58.43,120.29,36.22,17.78,5.35,3.42,0.13,26,160.4,174.2,2467,2278,2696,273.56,82.37,58.56,17.63,184.38,55.52,147.74,44.48,132.4,39.87,109.56,32.99,90.16,27.15,0,2,csv_1007.csv
